# German-English translations created from the Universal dictionary at 2011-03-25T01:53:34-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 evening ; eve ; even ; eventide 	 time 
 mitten ; unter ; zwischen ; mitten unter 	 among ; amongst ; amid ; amidst 	 preposition 
 modern 	 mod ; modern ; modernistic 	 adjective 
 modern 	 modern 	 adjective 
 morgen 	 tomorrow 	 adverb 
 munter ; wach 	 awake 	 adjective 
 mutmaßlich ; wahrscheinlich 	 probable ; likely 	 adjective 
 männlich 	 male 	 adjective 
 männlich 	 male ; manful ; manlike ; manly ; virile 	 adjective 
 möglich 	 possible 	 adjective 
 müde 	 tired 	 adjective 
 nach 	 after 	 adjective 
 nach ; später 	 subsequently ; later ; afterwards ; afterward ; after ; later on 	 adverb 
 nachahmen ; imitieren 	 imitate ; copy ; simulate 	 verb 
 nahezu ; um ; gegen ; etwa ; ungefähr 	 approximately ; about ; close to ; just about ; some ; roughly ; more or less ; around ; or so 	 adverb 
 national 	 national 	 adjective 
 natürlich 	 natural 	 adjective 
 natürliche Sprache 	 natural language ; tongue 	 linguistics 
 neben 	 near ; close ; nigh 	 adjective 
 nennen ; benennen 	 name ; call 	 verb 
 nett 	 nice 	 adjective 
 neu 	 new 	 adjective 
 neulich 	 recently ; late ; lately ; of late ; latterly 	 adverb 
 neun 	 nine ; 9 ; ix 	 number 
 neunte 	 ninth ; 9th 	 number 
 neunzehn 	 nineteen ; 19 ; xix 	 number 
 neunzig 	 ninety ; 90 ; xc 	 number 
 nicht 	 not ; non 	 adverb 
 niedrig 	 low 	 adjective 
 niemals 	 never 	 adverb 
 noch 	 still 	 adverb 
 normal 	 normal 	 adjective 
 normal ; standardmäßig 	 standard 	 adjective 
 nur 	 merely ; simply ; just ; only ; but 	 adverb 
 nächst 	 adjacent ; next ; side by side 	 adjective 
 nähen 	 sew ; run up ; sew together ; stitch 	 verb 
 nördlich 	 north 	 adjective 
 nützlig sein 	 benefit ; do good 	 verb 
 ob 	 whether 	 conjunction 
 oben ; ober ; oberhalb ; über 	 above ; higher up ; in a higher place ; to a higher place 	 adverb 
 oder 	 or 	 conjunction 
 offensichtlich 	 obviously ; evidently ; manifestly ; patently ; apparently ; plainly ; plain 	 adverb 
 orange 	 orange ; orangish 	 color 
 original ; originell ; ursprünglich 	 original 	 adjective 
 parallel 	 parallel 	 adjective 
 persönlich 	 personal 	 adjective 
 pflügen 	 plow ; plough ; turn 	 verb 
 physikalisch 	 physical 	 adjective 
 planen 	 plan 	 verb 
 platzieren ; legen ; hinlegen 	 put ; set ; place ; pose ; position ; lay 	 verb 
 plötzlich 	 suddenly ; all of a sudden ; of a sudden 	 adverb 
 plötzlich ; unvermittelt 	 sudden 	 adjective 
 polieren 	 polish ; smooth ; smoothen ; shine 	 verb 
 politisch 	 political 	 adjective 
 populär 	 popular 	 adjective 
 populär 	 popular ; pop 	 adjective 
 praktizieren ; exerzieren 	 practice ; practise ; exercise ; do 	 verb 
 privat 	 private 	 adjective 
 probieren 	 test ; prove ; try ; try out ; examine ; essay 	 verb 
 probieren ; versuchen 	 try ; seek ; attempt ; essay ; assay 	 verb 
 produzieren ; herstellen 	 produce ; make ; create 	 verb 
 professionell 	 professional 	 adjective 
 profitieren 	 profit ; turn a profit 	 verb 
 protestieren 	 protest 	 verb 
 präsentieren ; zeigen ; demonstrieren 	 show ; demo ; exhibit ; present ; demonstrate 	 verb 
 pumpen 	 pump 	 verb 
 quadratisch ; viereckig 	 square 	 adjective 
 rauchen 	 smoke 	 verb 
 rauchen ; qualmen 	 fume ; smoke 	 verb 
 recht ; rechts 	 right 	 adjective 
 reduzieren ; vermindern ; verringern 	 reduce ; cut down ; cut back ; trim ; trim down ; trim back ; cut ; bring down 	 verb 
 reflektieren ; widerspiegeln ; zurückwerfen ; abspiegeln 	 reflect ; reverberate 	 verb 
 regelmäßig ; regelrecht ; regulär 	 regular 	 adjective 
 regnen 	 rain ; rain down 	 verb 
 rein ; sauber 	 clean 	 adjective 
 reinigen ; säubern ; putzen ; reinemachen 	 clean ; make clean 	 verb 
 rennen 	 run 	 verb 
 retten ; schützen 	 salvage ; salve ; relieve ; save 	 verb 
 rezent 	 recent 	 adjective 
 richtig ; wahr 	 true 	 adjective 
 riechen 	 smell 	 verb 
 riskieren 	 gamble ; chance ; risk ; hazard ; take chances ; adventure ; run a risk ; take a chance 	 verb 
 rosa ; rosarot 	 pink ; pinkish 	 color 
 rot 	 red ; reddish ; ruddy ; blood-red ; carmine ; cerise ; cherry ; cherry-red ; crimson ; ruby ; ruby-red ; scarlet 	 color 
 rund um 	 about ; around 	 adverb 
 sagen ; erzählen 	 state ; say ; tell 	 verb 
 salzen 	 salt 	 verb 
 sauer 	 acid 	 adjective 
 scharf 	 acuate ; acute ; sharp ; needlelike 	 adjective 
 scharfsinnig 	 astute ; sharp ; shrewd 	 adjective 
 schauen 	 look 	 verb 
 schicken ; übersenden 	 mail ; post ; send 	 verb 
 schieben ; stecken ; stoßen 	 push ; force 	 verb 
 schlagen ; hauen 	 smash ; nail ; boom ; blast 	 verb 
 schlecht 	 bad 	 adjective 
 schleudern ; werfen 	 throw 	 verb 
 schließen ; verschließen ; zuschließen 	 lock 	 verb 
 schließen ; zumachen 	 close ; shut 	 verb 
 schmutzig 	 dirty ; dingy ; muddied ; muddy 	 adjective 
 schmutzig ; unrein ; unsauber 	 dirty ; soiled ; unclean 	 adjective 
 schneien 	 snow 	 verb 
 schnell 	 fast 	 logistics 
 schnell 	 quickly ; rapidly ; speedily ; chop-chop ; apace 	 adverb 
 schockieren 	 shock ; offend ; scandalize ; scandalise ; appal ; appall ; outrage 	 verb 
 schreiben 	 write 	 verb 
 schreien ; brüllen 	 shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall 	 verb 
 schwarz 	 black 	 adjective 
 schwer 	 heavy 	 adjective 
 schwer ; schwierig 	 difficult ; hard 	 adjective 
 schwimmen 	 swim 	 verb 
 schälen 	 skin ; peel ; pare 	 verb 
 schätzen 	 estimate ; gauge ; approximate ; guess ; judge 	 verb 
 schätzen 	 price 	 verb 
 schön 	 beautiful 	 adjective 
 sechs 	 six ; 6 ; vi ; half dozen ; half-dozen 	 number 
 sechste 	 sixth ; 6th 	 number 
 sechzehn 	 sixteen ; 16 ; xvi 	 number 
 sechzig 	 sixty ; 60 ; lx ; threescore 	 number 
 sehen 	 see 	 verb 
 sehen ; schauen ; beobachten ; anschauen ; ansehen 	 watch ; view ; see ; catch ; take in 	 verb 
 sehr 	 very ; really ; real ; rattling 	 adverb 
 sein 	 be 	 verb 
 sein 	 his 	 pronoun 
 seine 	 its 	 pronoun 
 seit 	 since 	 preposition 
 sich 	 herself 	 pronoun 
 sich 	 itself 	 pronoun 
 sich ; sich selbst 	 himself 	 pronoun 
 sicher 	 safe 	 adjective 
 sie 	 she 	 pronoun 
 sie 	 them 	 pronoun 
 sie 	 they 	 pronoun 
 sieben 	 seven ; 7 ; vii 	 number 
 siebte 	 seventh ; 7th 	 number 
 siebzig 	 seventy ; 70 ; lxx 	 number 
 signifikant ; wichtig 	 significant ; important 	 adjective 
 silbern 	 silver 	 adjective 
 silbern ; silberhell 	 argent ; silver ; silvery ; silverish 	 adjective 
 singen 	 sing 	 verb 
 sitzen 	 sit ; sit down 	 verb 
 so 	 so 	 adverb 
 sofort 	 immediately ; instantly ; straightaway ; straight off ; directly ; now ; right away ; at once ; forthwith ; like a shot 	 adverb 
 sogar 	 even 	 adverb 
 sorgen 	 care 	 verb 
 sparen 	 save ; preserve 	 verb 
 sparsam ; ökonomisch 	 economic ; economical 	 adjective 
 spezifisch 	 specific 	 adjective 
 spielen 	 play 	 verb 
 sprechen ; reden 	 talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 verb 
 springen 	 jump ; leap ; bound ; spring 	 verb 
 spärlich 	 sparse ; thin 	 adjective 
 spät 	 late ; belatedly ; tardily 	 adverb 
 spät ; verzögert 	 late 	 adjective 
 stark 	 strong 	 adjective 
 stark ; wirksam ; wirkungsvoll 	 potent ; strong ; stiff 	 adjective 
 starr 	 rigid ; stiff 	 adjective 
 stattfinden ; geschehen ; passieren ; vorkommen 	 happen ; hap ; go on ; pass off ; occur ; pass ; fall out ; come about ; take place 	 verb 
 stehen 	 stand ; stand up 	 verb 
 steigen ; wachsen ; zunehmen 	 increase 	 verb 
 steil 	 abrupt ; precipitous ; sharp 	 adjective 
 sterben 	 die ; decease ; perish ; go ; exit ; pass away ; expire ; pass ; kick the bucket ; cash in one's chips ; buy the farm ; conk ; give-up the ghost ; drop dead ; pop off ; choke ; croak ; snuff it 	 verb 
 stets ; immer 	 always ; ever ; e'er 	 adverb 
 steuern ; lenken 	 drive 	 verb 
 stinken 	 smell 	 verb 
 streiten ; sich streiten 	 argue ; contend ; debate ; fence 	 verb 
 studieren 	 study 	 verb 
 stützen ; unterstützen 	 support ; back up 	 verb 
 system ; System 	 system ; scheme 	 linguistics 
 südlich 	 south 	 adjective 
 süß 	 sweet 	 adjective 
 süßen 	 sugar ; saccharify 	 verb 
 tag ; Tag 	 day ; twenty-four hours ; twenty-four hour period ; 24-hour interval ; solar day ; mean solar day 	 nature 
 tanzen 	 dance ; trip the light fantastic ; trip the light fantastic toe 	 verb 
 tatsächlich ; wirklich 	 actually ; really 	 adverb 
 tausend 	 thousand ; one thousand ; 1000 ; M ; K ; chiliad ; G ; grand ; thou ; yard 	 number 
 tausend 	 thousand ; one thousand ; 1000 ; m ; k 	 number 
 teilen 	 share 	 verb 
 teilen ; verteilen 	 divide ; split ; split up ; separate ; dissever ; carve up 	 verb 
 telefonieren ; anrufen 	 call ; telephone ; call up ; phone ; ring 	 verb 
 toll ; großartig 	 bang-up ; bully ; corking ; cracking ; dandy ; great ; groovy ; keen ; neat ; nifty ; not bad ; peachy ; slap-up ; swell ; smashing 	 adjective 
 tot ; leblos 	 dead 	 adjective 
 tragen 	 bear 	 verb 
 tragen 	 transport ; carry 	 verb 
 trainieren ; schulen 	 train ; develop ; prepare ; educate 	 verb 
 transportieren 	 transport ; send ; ship 	 verb 
 traurig 	 sad 	 adjective 
 treffen ; zusammenkommen ; begegnen 	 meet ; run into ; encounter ; run across ; come across ; see 	 verb 
 treten 	 kick 	 verb 
 trinken 	 drink ; imbibe 	 verb 
 trocken 	 dry 	 adjective 
 trocknen 	 dry ; dry out 	 verb 
 trotz 	 despite 	 preposition 
 trotzen 	 confront ; face up ; face 	 verb 
 tun 	 act ; move 	 verb 
 töricht 	 airheaded ; dizzy ; empty-headed ; featherbrained ; giddy ; light-headed ; lightheaded ; silly 	 adjective 
 töten ; umbringen 	 kill 	 verb 
 und 	 and 	 conjunction 
 unecht ; falsch 	 fake ; false ; faux ; imitation ; simulated 	 adjective 
 ungebräuchlich ; ungewohnt ; ungewöhnlich 	 unusual 	 adjective 
 ungeduldig 	 impatient 	 adjective 
 ungestüm 	 fierce ; tearing ; vehement ; violent ; trigger-happy 	 adjective 
 uns 	 us 	 pronoun 
 unser ; unsere ; unsere 	 our 	 pronoun 
 unten 	 down 	 adjective 
 unter 	 nether ; under 	 adjective 
 untergeordnet 	 subject ; dependent 	 adjective 
 verantwortlich 	 responsible 	 adjective 
 verbessern 	 better ; improve ; amend ; ameliorate ; meliorate 	 verb 
 verbinden ; zusammenfügen ; zusammenschließen 	 join ; bring together 	 verb 
 verbrennen 	 burn ; fire ; burn down 	 verb 
 verbringen 	 spend ; pass 	 verb 
 verfehlen 	 miss 	 verb 
 vergangen 	 past 	 adjective 
 vergessen 	 forget 	 verb 
 vergiften 	 poison 	 verb 
 vergleichen 	 compare 	 verb 
 verheiratet 	 married 	 adjective 
 verhüllen ; verschleiern ; einhüllen 	 shroud ; enshroud ; hide ; cover 	 verb 
 verkaufen 	 sell 	 verb 
 verletzen 	 hurt ; injure 	 verb 
 verletzen ; verwunden 	 injure ; wound 	 verb 
 verlieren 	 lose 	 verb 
 verlieren 	 lose 	 verb 
 verpassen ; versäumen 	 miss 	 verb 
 versagen 	 fail ; neglect 	 verb 
 verschieden 	 diverse ; various 	 adjective 
 verstehen 	 sympathize ; sympathise ; empathize ; empathise ; understand 	 verb 
 verstehen ; begreifen 	 understand 	 verb 
 verzeihen 	 forgive 	 verb 
 veröffentlichen 	 publish ; bring out ; put out ; issue ; release 	 verb 
 viel 	 much 	 adjective 
 viele 	 many 	 adjective 
 vielleicht 	 possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure 	 adverb 
 vier 	 four ; 4 ; iv 	 number 
 vierte ; vierter 	 fourth ; 4th ; quaternary 	 number 
 vierzehn 	 fourteen ; 14 ; xiv 	 number 
 vierzig 	 forty ; 40 ; xl ; twoscore 	 number 
 voll 	 full 	 adjective 
 vollendet ; vollständig 	 complete ; consummate 	 adjective 
 vollständig 	 whole 	 adjective 
 vor 	 ago ; agone 	 adjective 
 voraus ; vordere 	 forward ; forwards ; frontward ; frontwards ; forrad ; forrard 	 adverb 
 vorbei 	 by ; past 	 adverb 
 vorbereiten 	 fix ; prepare ; set up ; ready ; gear up ; set 	 verb 
 vordere 	 front 	 adjective 
 vorhaben 	 mean ; intend 	 verb 
 vorhanden 	 available 	 adjective 
 vorig ; früher 	 erstwhile ; former ; old ; onetime ; one-time ; quondam ; sometime 	 adjective 
 vorstellen 	 introduce ; innovate 	 verb 
 vorstellen 	 introduce ; present ; acquaint 	 verb 
 wahr ; wahrhaft 	 truthful ; true 	 adjective 
 wahrlich ; wirklich 	 truly ; genuinely ; really 	 adverb 
 wahrscheinlich 	 probably ; likely ; in all likelihood ; in all probability ; belike 	 adverb 
 wann immer 	 whenever 	 conjunction 
 warm 	 hot 	 adjective 
 warm 	 warm 	 adjective 
 warten 	 wait ; hold off ; hold back 	 verb 
 warum 	 why 	 adverb 
 was 	 what 	 pronoun 
 waschen 	 wash ; launder 	 verb 
 weiblich 	 female 	 adjective 
 weich 	 soft 	 adjective 
 weil 	 because 	 conjunction 
 weil 	 for 	 conjunction 
 weinen 	 cry ; weep 	 verb 
 weise 	 wise 	 adjective 
 weiter 	 further ; farther 	 adjective 
 weiß 	 white 	 adjective 
 welch ; welcher 	 which 	 pronoun 
 wem 	 whom 	 pronoun 
 wenig 	 few 	 adjective 
 wenig ; bisschen 	 little 	 adverb 
 weniger 	 less 	 adjective 
 wenigsten 	 least ; to the lowest degree 	 adverb 
 wenn 	 if 	 conjunction 
 wer 	 who 	 pronoun 
 wesentlich ; primär ; haupt- ; hauptsächlich 	 chief ; main ; primary ; principal ; master 	 adjective 
 wessen 	 whose 	 pronoun 
 westen ; Westen 	 west ; due west ; westward ; W 	 logistics 
 westlich 	 west 	 adjective 
 wichtig ; signifikant 	 important ; of import 	 adjective 
 wie 	 equally ; as ; every bit 	 adverb 
 wiederum 	 again ; once again ; once more ; over again 	 adverb 
 wiegen 	 weigh 	 verb 
 winzig 	 infinitesimal ; minute 	 adjective 
 wir 	 we 	 pronoun 
 wirtschaftlich 	 economic 	 adjective 
 während 	 during 	 preposition 
 wünschen 	 wish 	 verb 
 würzen 	 season ; flavor ; flavour 	 verb 
 zart ; zierlich 	 delicate 	 adjective 
 zehn 	 ten ; 10 ; x 	 number 
 zehnte 	 tenth ; 10th 	 number 
 zentral 	 central 	 adjective 
 zerdrücken ; zerquetschen 	 crush 	 verb 
 zerdrücken ; zerquetschen 	 squash ; crush ; squelch ; mash ; squeeze 	 verb 
 ziehen 	 pull ; draw ; force 	 verb 
 zitieren 	 mention ; advert ; bring up ; cite ; name ; refer 	 verb 
 zu 	 to 	 preposition 
 zugeben ; zulassen ; anerkennen 	 admit ; acknowledge 	 verb 
 zuhören ; hören ; anhören 	 listen ; hear ; take heed 	 verb 
 zuletzt ; letzte ; letzter 	 last 	 adjective 
 zurückgeben 	 render ; return 	 verb 
 zusammen 	 together 	 adverb 
 zustimmen ; übereinstimmen 	 agree ; hold ; concur ; concord 	 verb 
 zwantig 	 twenty ; 20 ; xx 	 number 
 zwei 	 two ; 2 ; ii 	 number 
 zweite 	 second ; 2nd ; 2d 	 adjective 
 zwischen 	 between ; betwixt 	 adverb 
 zwölfte 	 twelfth ; 12th 	 number 
 Äußere 	 outside ; exterior 	 mathematics 
 Öl 	 oil 	 material 
 Überraschung 	 surprise 	 abstract 
 ähnlich 	 like ; similar 	 adjective 
 ähnlich 	 similar 	 adjective 
 öffentlich 	 public 	 travelling 
 östlich 	 east 	 adjective 
 übergeben 	 pass ; hand ; reach ; pass on ; turn over ; give 	 verb 
 überlegen 	 reason 	 verb 
 überraschen 	 surprise 	 verb 
 übersteigen ; übertreffen 	 exceed ; transcend ; overstep ; pass ; go past ; top 	 verb 
 üblich 	 common ; usual 	 adjective 
 üblich 	 usual 	 adjective 
